Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					has_names		Bool	1..1	Whether the sequence features are named (at least one feature has a name).	https://w3id.org/fga-wg/schema/track-geometry/has_names
					elements_overlapping		Bool	1..1	Whether the sequence features are overlapping (at least one base pair is simultaneously covered by two sequence features).	https://w3id.org/fga-wg/schema/track-geometry/elements_overlapping
					elements_circular		Bool	1..1	Whether the sequence features have circular coordinates (at least one feature that cross a sequence border).	https://w3id.org/fga-wg/schema/track-geometry/elements_circular
					lengths_constant		Bool	0..1	Whether the sequence lengths are constant (all sequence features have the same length, excluding features at the very end of a sequence).	https://w3id.org/fga-wg/schema/track-geometry/lengths_constant
					value_type		DataTypes	0..1	The type of values associated with the sequence features, if any.	https://w3id.org/fga-wg/schema/track-geometry/value_type
					edges_have_weights		Bool	0..1	Whether the edges linking sequence features are weighted (at least one edge between sequence features has an associated weight).	https://w3id.org/fga-wg/schema/track-geometry/edges_have_weights
					edge_weight_type		DataTypes	0..1	The type of values associated with the edges.	https://w3id.org/fga-wg/schema/track-geometry/edge_weight_type
					edges_are_directed		Bool	0..1	Whether the edges linking sequence features are directed (at least one edge between sequence features is defined with a direction).	https://w3id.org/fga-wg/schema/track-geometry/edges_are_directed
					edges_denote_parents		Bool	0..1	Whether the edges linking sequence features denote a parent-child relationship (all edges between sequence features denote parent-child relationships such as genes to exons, i.e. where the child is fully covered by the parent).	https://w3id.org/fga-wg/schema/track-geometry/edges_denote_parents

